Scheme Code;Net Asset Value;Repurchase Price;Sale Price;Date
100471;Franklin India Bluechip Fund-Growth;137.9536;137.9536;141.0576;23-Aug-2007
100471;Franklin India Bluechip Fund-Growth;140.0198;140.0198;143.1702;24-Aug-2007
100471;Franklin India Bluechip Fund-Growth;143.8174;143.8174;147.0533;27-Aug-2007
100471;Franklin India Bluechip Fund-Growth;144.6149;144.6149;147.8687;28-Aug-2007
100471;Franklin India Bluechip Fund-Growth;144.9828;144.9828;148.2449;29-Aug-2007
100471;Franklin India Bluechip Fund-Growth;146.1477;146.1477;149.4360;30-Aug-2007
100471;Franklin India Bluechip Fund-Growth;148.1788;148.1788;151.5128;31-Aug-2007
100471;Franklin India Bluechip Fund-Growth;149.5236;149.5236;152.8879;03-Sep-2007
100471;Franklin India Bluechip Fund-Growth;149.9600;149.9600;153.3341;04-Sep-2007
100471;Franklin India Bluechip Fund-Growth;149.5156;149.5156;152.8797;05-Sep-2007
100471;Franklin India Bluechip Fund-Growth;151.0066;151.0066;154.4042;06-Sep-2007
100471;Franklin India Bluechip Fund-Growth;150.4776;150.4776;153.8633;07-Sep-2007
100471;Franklin India Bluechip Fund-Growth;150.6874;150.6874;154.0779;10-Sep-2007
100471;Franklin India Bluechip Fund-Growth;150.3578;150.3578;153.7409;11-Sep-2007
100471;Franklin India Bluechip Fund-Growth;150.3715;150.3715;153.7549;12-Sep-2007
100471;Franklin India Bluechip Fund-Growth;151.5491;151.5491;154.9590;13-Sep-2007
100471;Franklin India Bluechip Fund-Growth;150.8670;150.8670;154.2615;14-Sep-2007
100471;Franklin India Bluechip Fund-Growth;150.4955;150.4955;153.8816;17-Sep-2007
100471;Franklin India Bluechip Fund-Growth;151.9902;151.9902;155.4100;18-Sep-2007
100471;Franklin India Bluechip Fund-Growth;156.8666;156.8666;160.3961;19-Sep-2007
100471;Franklin India Bluechip Fund-Growth;157.9422;157.9422;161.4959;20-Sep-2007
100471;Franklin India Bluechip Fund-Growth;159.8579;159.8579;163.4547;21-Sep-2007
100471;Franklin India Bluechip Fund-Growth;161.9679;161.9679;165.6122;24-Sep-2007
100471;Franklin India Bluechip Fund-Growth;162.5004;162.5004;166.1567;25-Sep-2007
